ISIN,BSE Name,NSE Symbol,Applicable Date,High Price on BSE (INR),High Price on NSE (INR),Fair market value
INE223R01014,NAPL,,2018-10-31,97.5,,97.5
INE715T01015,NARAYANI,,2018-10-31,53,,53
INE540C01021,NARBADA,,2018-10-31,20.05,,20.05
INE603F01012,NARENDRA PRO,,2018-10-31,11,,11
INE869A01010,NARMADA GEL,,2018-10-31,161.35,,161.35
INE896D01017,NAT PLASTIC,,2018-10-31,42.4,,42.4
INE088B01015,NAT STL AGRO,NATNLSTEEL,2018-10-31,42.4,43,43
INE139A01034,NAT.ALUM,NATIONALUM,2018-10-31,77.6,77.75,77.75
INE585A01020,NAT.PEROXIDE,,2018-10-31,2144,,2144
INE233D01013,NAT.PLASTIC,,2018-10-31,66.4,,66.4
INE987B01026,NATCO PHARM,NATCOPHARM,2018-10-31,963,956.35,963
INE174S01017,NATECO,,2018-10-31,89.4,,89.4
INE643C01015,NATFIT,,2018-10-31,235.95,,235.95
INE448G01010,NATH BIOGEN,NATHBIOGEN,2018-10-31,536.95,538.5,538.5
INE776A01025,NATH PULP,,2018-10-31,46.9,,46.9
INE296D01010,NATI. OXYGEN,,2018-10-31,45,,45
INE870D01012,NATIONAL FER,NFL,2018-10-31,73.65,73.9,73.9
INE166R01015,NATIONAL STD,,2018-10-31,21.9,,21.9
INE444D01016,NATRAJ PROTE,,2018-10-31,39.3,,39.3
INE487B01019,NATURA HUE C,,2018-10-31,4.37,,4.37
INE936B01015,NATURAL CAPS,,2018-10-31,142.8,,142.8
INE725A01022,NAV BHAR VEN,NBVENTURES,2018-10-31,161.85,162.4,162.4
INE048G01026,NAVIN FLUORI,NAVINFLUOR,2018-10-31,819.5,820,820
INE268H01010,NAVKAR BUILD,,2018-10-31,18.7,,18.7
INE278M01019,NAVKARCORP,NAVKARCORP,2018-10-31,185.5,185.5,185.5
INE365G01016,NAVKETAN,,2018-10-31,0.85,,0.85
INE060A01024,NAVNETEDUL,NAVNETEDUL,2018-10-31,148,148,148
INE095N01023,NBCC,NBCC,2018-10-31,229.5,229.6,229.6
INE365I01020,,NBIFIN,2018-10-31,,1681,1681
INE868B01028,NCC,NCC,2018-10-31,126.75,126.85,126.85
INE768B01012,NCC FINANCE,,2018-10-31,1.21,,1.21
INE132F01020,NCL RESEARCH,,2018-10-31,1.7,,1.7
INE756C01015,,NDGL,2018-10-31,,1649.25,1649.25
INE875G01030,NDL,NDL,2018-10-31,148.3,146.55,148.3
INE155G01029,NDTV,NDTV,2018-10-31,45.8,45.75,45.8
INE553C01016,NECC LTD,NECCLTD,2018-10-31,29.5,29.45,29.5
INE023H01027,NECTAR LIFE,NECLIFE,2018-10-31,33.5,33.55,33.55
INE605D01012,NEELAMALAI,,2018-10-31,1550,,1550
INE894J01019,NEERAJ,,2018-10-31,16.1,,16.1
INE874D01022,NEHA INTER.,,2018-10-31,8.19,,8.19
INE555X01017,NEL,,2018-10-31,9.5,,9.5
INE189I01024,NELCAST,NELCAST,2018-10-31,88.2,87.95,88.2
INE045B01015,NELCO LTD.,NELCO,2018-10-31,124.2,124.45,124.45
INE851C01014,NEOCORP INTE,,2018-10-31,3.38,,3.38
INE552E01014,NEOGEM INDIA,,2018-10-31,5.42,,5.42
INE216I01017,NEOINFRA,,2018-10-31,38.3,,38.3
INE317F01035,NESCO LTD,NESCO,2018-10-31,614,617.5,617.5
INE239A01016,NESTLE (I),NESTLEIND,2018-10-31,7505.85,7514,7514
INE553E01012,,NET4,2018-10-31,,1.75,1.75
INE027D01019,NETTLINX LTD,,2018-10-31,92.5,,92.5
INE738A01017,NETVISTA INF,,2018-10-31,2.87,,2.87
INE010C01025,NETWORK LTD.,,2018-10-31,4.55,,4.55
INE794A01010,NEULAND LAB.,NEULANDLAB,2018-10-31,844.4,843.6,844.4
INE619B01017,NEWGEN,NEWGEN,2018-10-31,258.15,258,258.15
INE835U01019,NEWLIGHT,,2018-10-31,23.2,,23.2
INE217Q01018,NFIL,,2018-10-31,14.59,,14.59
INE887E01022,NGL FINE CHM,,2018-10-31,445,,445
INE410P01011,NH,NH,2018-10-31,289.2,288,289.2
INE141C01028,NHCFOODS,,2018-10-31,15.1,,15.1
INE848E01016,NHPC,NHPC,2018-10-31,29.95,30,30
INE470Y01017,NIACL,NIACL,2018-10-31,636.85,639,639
INE653C01022,NICCO PARKS,,2018-10-31,42,,42
INE276H01013,NIDHI GRANIT,,2018-10-31,17.3,,17.3
INE666Q01016,NIDL,,2018-10-31,49.55,,49.55
INF109KA1962,NIF100IWIN,NIF100IWIN,2018-10-31,119.69,122,122
INF732E01011,NIFTY BEES,NIFTYBEES,2018-10-31,1138.7,1138.5,1138.7
INF754K01EK3,,NIFTYEES,2018-10-31,,12350,12350
INF109K012R6,NIFTYIWIN,NIFTYIWIN,2018-10-31,113.41,114,114
INE876E01033,NIHAR INFO,,2018-10-31,14.5,,14.5
INE161A01038,NIIT LTD.,NIITLTD,2018-10-31,107,106.4,107
INE591G01017,NIITTECH,NIITTECH,2018-10-31,866.65,868,868
INE926C01014,NIKHIL ADHSV,,2018-10-31,226.5,,226.5
INE937C01029,NILA INFRA.,NILAINFRA,2018-10-31,23.25,23.2,23.25
INE416N01013,NILACHAL REF,,2018-10-31,33.1,,33.1
INE445D01013,NILE LTD.,,2018-10-31,930.9,,930.9
INE310A01015,NILKAMAL L,NILKAMAL,2018-10-31,1851.9,1850,1851.9
INE470M01020,NIMBUS IND.,,2018-10-31,4.5,,4.5
INE395U01014,NINSYS,,2018-10-31,19.5,,19.5
INE567A01010,NIPPOBATRY,NIPPOBATRY,2018-10-31,883.55,880.1,883.55
INE368I01016,NIRAJ CEMENT,,2018-10-31,31.7,,31.7
INE910A01012,NIRLON,,2018-10-31,215.95,,215.95
INE858F01012,NITCO TILES,NITCO,2018-10-31,134,134,134
INE639K01016,NITESH EST,NITESHEST,2018-10-31,16.1,16.05,16.1
INE489H01020,NITIN FIRE,NITINFIRE,2018-10-31,6.35,6.4,6.4
INE861H01012,NITINCAST,,2018-10-31,180,,180
INE229H01012,NITINSPINNER,NITINSPIN,2018-10-31,122.6,122.35,122.6
INE439T01012,,NITIRAJ,2018-10-31,,77,77
INE265B01019,NITTA GELA,,2018-10-31,239.8,,239.8
INE480D01010,NIYOGIN,,2018-10-31,90.05,,90.05
INE589A01014,NLCINDIA,NLCINDIA,2018-10-31,106,104.8,106
INE584A01023,NMDC LTD,NMDC,2018-10-31,144.4,144.6,144.6
INE203Q01026,NOBPOL,,2018-10-31,0.45,,0.45
INE163A01018,NOCIL LTD,NOCIL,2018-10-31,211.3,212,212
INE781B01015,NOIDA-TOLL B,NOIDATOLL,2018-10-31,14.72,14.8,14.8
INE369C01017,,NORBTEAEXP,2018-10-31,,7.45,7.45
INE453M01018,NORL,NAGAROIL,2018-10-31,4.4,4.35,4.4
INE317B01034,NOUVEAU,,2018-10-31,14.37,,14.37
INE608C01026,NOVA IRON&ST,,2018-10-31,8.8,,8.8
INE900O01014,NOVAPUBLIC,,2018-10-31,29.45,,29.45
INE234A01025,NOVARTIS,,2018-10-31,649.95,,649.95
INE446D01011,NPR FINANCE,,2018-10-31,40,,40
INE605F01017,NR INTERNA,,2018-10-31,5.76,,5.76
INE349A01021,NRB BEARINGS,NRBBEARING,2018-10-31,166.2,165.9,166.2
INE047O01014,NRB IND BEA,NIBL,2018-10-31,29.15,29,29.15
INE920C01017,NTC INDUST,,2018-10-31,49.7,,49.7
INE333I01036,NTL,NTL,2018-10-31,4.55,4.5,4.55
INE733E01010,NTPC LTD,NTPC,2018-10-31,170.95,170.95,170.95
INE870H01013,NTWK MED INV,NETWORK18,2018-10-31,57.15,57.2,57.2
INE096B01018,NUCLE.SOFT E,NUCLEUS,2018-10-31,456.15,456.9,456.9
INE960H01012,NUTECH GLOBA,,2018-10-31,10,,10
INE318J01027,NUTEK INDIA,NUTEK,2018-10-31,1.27,1.3,1.3
INE230G01020,NUTRA,,2018-10-31,37.9,,37.9
INF109KB1WY5,NV20IWIN,NV20IWIN,2018-10-31,,51.2,51.2
INE812K01027,NYSSACORP,,2018-10-31,1.43,,1.43
INE189Q01019,OASIS,,2018-10-31,81,,81
INE876A01015,OASIS SECUR.,,2018-10-31,35.85,,35.85
INE093I01010,OBEROI REAL,OBEROIRLTY,2018-10-31,547.95,540.95,547.95
INE732P01018,OBI LTD,,2018-10-31,112.25,,112.25
INE049J01010,OCEAN AGRO,,2018-10-31,21.65,,21.65
INE711V01010,OCEANIC,,2018-10-31,145.4,,145.4
INE290B01025,OCL INDIA L,OCL,2018-10-31,1393.55,1388.6,1393.55
INE196J01019,OCL IRON&ST,OISL,2018-10-31,4.41,4.35,4.41
INE814L01013,OCTAVE,,2018-10-31,1.83,,1.83
INE839E01023,ODYSSEY CORP,,2018-10-31,2.54,,2.54
INE213B01019,ODYSSEY TECH,,2018-10-31,47.9,,47.9
INE742R01013,OFSTECH,,2018-10-31,19,,19
INE591A01010,OIL COUNTRY,OILCOUNTUB,2018-10-31,52.55,52.5,52.55
INE274J01014,OIL INDIA,OIL,2018-10-31,364.95,364.95,364.95
INE125F01024,OIVL,,2018-10-31,18.35,,18.35
INE870B01016,OK PLAY (I),,2018-10-31,122.8,,122.8
INE482O01021,OLYMPIA IND.,,2018-10-31,208.7,,208.7
INE550L01013,OLYMPIC,,2018-10-31,10.1,,10.1
INE286E01019,OLYMPIC OIL,,2018-10-31,172.95,,172.95
INE239D01028,OM MET INFRA,OMMETALS,2018-10-31,68.9,68.9,68.9
INE378P01028,OMANSH,,2018-10-31,2.03,,2.03
INE090B01011,OMAX AUTOS.,OMAXAUTO,2018-10-31,197.95,198.4,198.4
INE800H01010,OMAXE LTD,OMAXE,2018-10-31,230.4,230.25,230.4
INE338Y01016,,OMFURN,2018-10-31,,23,23
INE474L01016,OMKAR SPC,OMKARCHEM,2018-10-31,74.9,74.5,74.9
INE369B01019,OMNI AXS SO,,2018-10-31,1.71,,1.71
INE814D01010,OMNITEX IND.,,2018-10-31,17.85,,17.85
INE912L01015,ONELIFE CAP,ONELIFECAP,2018-10-31,27.9,28,28
INE840Y01011,,ONEPOINT,2018-10-31,,93.45,93.45
INE213A01029,ONGC CORPN,ONGC,2018-10-31,204.55,204.6,204.6
INE809I01019,ONMOBILE,ONMOBILE,2018-10-31,56.3,56.3,56.3
INE229A01017,ONWARD TECHN,ONWARDTEC,2018-10-31,109.8,105.45,109.8
INE860E01011,OONE,,2018-10-31,2.11,,2.11
INE118Q01018,OPCHAINS,,2018-10-31,27,,27
INE350C01017,OPTIEMUS,OPTIEMUS,2018-10-31,272,268.4,272
INE031G01014,OPTIFIN,,2018-10-31,24.35,,24.35
INE808B01016,OPTO CIRCUIT,OPTOCIRCUI,2018-10-31,11.2,11.15,11.2
INE881D01027,ORACLE FIN,OFSS,2018-10-31,4220,4200,4220
INE231G01010,ORBIT EXPORT,ORBTEXP,2018-10-31,160,159.95,160
INE628H01015,ORBITCO,ORBITCORP,2018-10-31,2,1.75,2
INE191A01019,ORCHIDPHAR,ORCHIDPHAR,2018-10-31,18.2,17.95,18.2
INE412E01011,ORGANIC COAT,,2018-10-31,15.7,,15.7
INE730A01022,ORICON ENT,ORICONENT,2018-10-31,64.35,64.45,64.45
INE569C01020,ORIENT ABRAS,ORIENTABRA,2018-10-31,49.35,49.5,49.5
INE247F01018,ORIENT BEVER,,2018-10-31,111.15,,111.15
INE876N01018,ORIENT CEM,ORIENTCEM,2018-10-31,152,152.3,152.3
INE750A01020,ORIENT HOTEL,ORIENTHOT,2018-10-31,57,57.8,57.8
INE592A01026,ORIENT PAPER,ORIENTPPR,2018-10-31,48.85,48.95,48.95
INE609C01024,ORIENT PRESS,ORIENTLTD,2018-10-31,209.55,209.8,209.8
INE743M01012,ORIENT REF,ORIENTREF,2018-10-31,169.85,172,172
INE681D01013,ORIENT TRADE,,2018-10-31,4.28,,4.28
INE321D01016,ORIENT.CARB.,OCCL,2018-10-31,1274,1256.65,1274
INE998H01012,ORIENTAL,ORIENTALTL,2018-10-31,16.8,16.45,16.8
INE457G01011,ORIENTAL VEN,,2018-10-31,510,,510
INE607D01018,ORIENTBELL,ORIENTBELL,2018-10-31,347.25,348.4,348.4
INE141A01014,ORINTAL BANK,ORIENTBANK,2018-10-31,116.9,116.7,116.9
INE725E01024,ORISSA MINE,ORISSAMINE,2018-10-31,1877,1875,1877
INE849L01019,ORTEL,ORTEL,2018-10-31,34,33.6,34
INE749B01012,ORTINLAABS,ORTINLABSS,2018-10-31,21.75,21.85,21.85
INE473F01010,OSCAR GLOBAL,,2018-10-31,3.05,,3.05
INE221D01018,OSCAR INV.,,2018-10-31,212,,212
INE142A01012,OSWAL AGRO.,,2018-10-31,15.45,,15.45
INE670H01017,OSWAL YARNS,,2018-10-31,6.2,,6.2
INE910B01010,OTCO INTERN.,,2018-10-31,49.6,,49.6
INE670O01013,OVERSEAS SYN,,2018-10-31,8.2,,8.2
INE812S01012,OVOBEL FOODS,,2018-10-31,18.55,,18.55
INE365S01011,OYEEEE,,2018-10-31,22.32,,22.32
INE583K01016,OZONEWORLD,,2018-10-31,29.25,,29.25
INE078D01012,P.G.FOILS,,2018-10-31,206,,206
INE807H01015,P.G.IND.LTD.,,2018-10-31,28.75,,28.75
INE160F01013,P.H.CAPITAL,,2018-10-31,26.5,,26.5
INE293E01023,P.POLYSAC(NR,,2018-10-31,74,,74
INE883C01025,PACIFIC IND.,,2018-10-31,152.8,,152.8
INE494K01024,PACT,,2018-10-31,3.9,,3.9
INE743D01011,PADMAIND,,2018-10-31,76.8,,76.8
INE243B01016,PADMALAYA TE,,2018-10-31,5.7,,5.7
INE761H01022,PAGE INDUSTR,PAGEIND,2018-10-31,21900,21838.6,21900
