ISIN,BSE Name,NSE Symbol,Applicable Date,High Price on BSE (INR),High Price on NSE (INR),Fair market value,Type
INE786W01010,,RKEC,10/31/2018,,136,136,Stock
INE629C01014,RLF LIMITED.,,10/31/2018,1.91,,1.91,Stock
INE655V01019,RMC,,10/31/2018,64.1,,64.1,Stock
INE174N01026,RMCHEM,,10/31/2018,6.08,,6.08,Stock
INE219Y01018,,RMDRIP,10/31/2018,,71,71,Stock
INE731F01037,RMGALLOY,,10/31/2018,11.65,,11.65,Stock
INE298J01013,RNAM,RNAM,10/31/2018,289.6,290,290,Stock
INE542F01012,RNAVAL,RNAVAL,10/31/2018,48.7,48.75,48.75,Stock
INE012Q01013,RNB DENIMS,,10/31/2018,57,,57,Stock
INE820D01025,RNBOWDENIM,,10/31/2018,9.2,,9.2,Stock
INE644B01049,ROCKONENT,,10/31/2018,1.55,,1.55,Stock
INE513E01024,RODIUM,,10/31/2018,159.9,,159.9,Stock
INE927A01040,ROLLATAINER,ROLLT,10/31/2018,6.15,6.35,6.35,Stock
INE293A01013,ROLTA (I),ROLTA,10/31/2018,70.55,70.6,70.6,Stock
INE443C01010,ROOPA INDUS,,10/31/2018,14.3,,14.3,Stock
INE475C01012,ROSELABS FIN,,10/31/2018,22.15,,22.15,Stock
INE847C01020,ROSSELL IND,ROSSELLIND,10/31/2018,114.8,114.9,114.9,Stock
INE535D01029,ROTO PUMPS,,10/31/2018,125.5,,125.5,Stock
INE618A01011,ROYAL CUSHIO,,10/31/2018,4.76,,4.76,Stock
INE510H01015,ROYAL IND,,10/31/2018,1.63,,1.63,Stock
INE008C01011,ROYALE MANOR,,10/31/2018,13.48,,13.48,Stock
INE283H01019,ROYALORCH,ROHLTD,10/31/2018,217.6,219.4,219.4,Stock
INE912T01018,RPEL,,10/31/2018,136,,136,Stock
INE105J01010,RPG LIFESCI,RPGLIFE,10/31/2018,507,508.7,508.7,Stock
INE614G01033,RPOWER,RPOWER,10/31/2018,47.7,47.7,47.7,Stock
INE324L01013,RPP INFRA,RPPINFRA,10/31/2018,305.5,305.75,305.75,Stock
INF204KB1882,,RRSLGETF,10/31/2018,,16.81,16.81,Stock
INE616F01014,RSDFIN,,10/31/2018,94.75,,94.75,Stock
INE367U01013,RSTL,,10/31/2018,64,,64,Stock
INE611A01016,RSWM LTD,RSWM,10/31/2018,363.45,364,364,Stock
INE411H01032,RSYSTEMINT,RSYSTEMS,10/31/2018,43.3,43,43.3,Stock
INE840I01014,RTFL,,10/31/2018,31.5,,31.5,Stock
INE834M01019,RTNINFRA,RTNINFRA,10/31/2018,6.46,6.5,6.5,Stock
INE399K01017,RTNPOWER,RTNPOWER,10/31/2018,7.4,7.45,7.45,Stock
INE005C01017,RTS POWER CO,,10/31/2018,50.9,,50.9,Stock
INE642C01025,RUBFILA INT.,,10/31/2018,78.3,,78.3,Stock
INE396H01019,RUBRA MEDICA,,10/31/2018,5.98,,5.98,Stock
INE812T01010,RUBY,,10/31/2018,14.5,,14.5,Stock
INE301D01026,RUBY MILLS,RUBYMILLS,10/31/2018,392.8,392,392.8,Stock
INE413B01023,RUCHI INFRA.,RUCHINFRA,10/31/2018,5.29,5.25,5.29,Stock
INE619A01027,RUCHI SOYA,RUCHISOYA,10/31/2018,17.4,17.4,17.4,Stock
INE611C01012,RUCHI STR AL,,10/31/2018,2.03,,2.03,Stock
INE803H01014,RUCHIRA PAP,RUCHIRA,10/31/2018,185.6,185.8,185.8,Stock
INE027T01015,RUDRA,,10/31/2018,216.6,,216.6,Stock
INE347C01013,RUNGTA IRRIG,,10/31/2018,31.5,,31.5,Stock
INE895B01021,RUPA & CO,RUPA,10/31/2018,454.8,453.25,454.8,Stock
INE573K01017,RUSHIL DECOR,RUSHIL,10/31/2018,1003.3,1004.25,1004.25,Stock
INE302D01016,RUTTONSHA IN,,10/31/2018,52.1,,52.1,Stock
INE118B01010,S.A.ENTERPR.,,10/31/2018,7.4,,7.4,Stock
INE088G01014,S.I.PAPER,,10/31/2018,148.5,,148.5,Stock
INE329C01011,S.R.INDUS.,,10/31/2018,31.2,,31.2,Stock
INE102E01018,S.S.ORGANICS,,10/31/2018,9,,9,Stock
INE137M01017,SAB,,10/31/2018,70,,70,Stock
INE440C01016,SABOO SODIUM,,10/31/2018,20.45,,20.45,Stock
INE433G01012,SACHETA MET.,,10/31/2018,54.5,,54.5,Stock
INE226H01026,SADBHAV ENGG,SADBHAV,10/31/2018,411.6,412.5,412.5,Stock
INE764L01010,SADBHIN,SADBHIN,10/31/2018,146,146.3,146.3,Stock
INE888C01016,SADHANA NITR,,10/31/2018,189.3,,189.3,Stock
INE101L01031,SAFAL SECURI,,10/31/2018,1.14,,1.14,Stock
INE880M01020,SAFALHBS,,10/31/2018,2.98,,2.98,Stock
INE429E01023,SAFARI IND.,,10/31/2018,523,,523,Stock
INE474D01013,SAFFRON IND,,10/31/2018,7.3,,7.3,Stock
INE146Y01013,SAGAR,,10/31/2018,41.5,,41.5,Stock
